N,delta,alpha
2,0.987487487487,0.975867
2,0.987587587588,0.976026
2,0.987687687688,0.976263
2,0.987787787788,0.9764660000000001
2,0.987887887888,0.976894
2,0.987987987988,0.976993
2,0.988088088088,0.977115
2,0.988188188188,0.977353
2,0.988288288288,0.977384
2,0.988388388388,0.977778
2,0.988488488488,0.977719
2,0.988588588589,0.978189
2,0.988688688689,0.978212
2,0.988788788789,0.978545
2,0.988888888889,0.97844
2,0.988988988989,0.978995
2,0.989089089089,0.978703
2,0.989189189189,0.979264
2,0.989289289289,0.979175
2,0.989389389389,0.979596
2,0.989489489489,0.979579
2,0.98958958959,0.97975
2,0.98968968969,0.980045
2,0.98978978979,0.980284
2,0.98988988989,0.980413
2,0.98998998999,0.980732
2,0.99009009009,0.980764
2,0.99019019019,0.981032
2,0.99029029029,0.981229
2,0.99039039039,0.981304
2,0.99049049049,0.981487
2,0.990590590591,0.981671
2,0.990690690691,0.9823770000000001
2,0.990790790791,0.982084
2,0.990890890891,0.982517
2,0.990990990991,0.982425
2,0.991091091091,0.982812
2,0.991191191191,0.982974
2,0.991291291291,0.983301
2,0.991391391391,0.983325
2,0.991491491491,0.983586
2,0.991591591592,0.983804
2,0.991691691692,0.983609
2,0.991791791792,0.984211
2,0.991891891892,0.984237
2,0.991991991992,0.984539
2,0.992092092092,0.984726
2,0.992192192192,0.9849
2,0.992292292292,0.984809
2,0.992392392392,0.98533
2,0.992492492492,0.985683
2,0.992592592593,0.98564
2,0.992692692693,0.985701
2,0.992792792793,0.986016
2,0.992892892893,0.986027
2,0.992992992993,0.986391
2,0.993093093093,0.986708
2,0.993193193193,0.987168
2,0.993293293293,0.987068
2,0.993393393393,0.987231
2,0.993493493493,0.987354
2,0.993593593594,0.987559
2,0.993693693694,0.987693
2,0.993793793794,0.987861
2,0.993893893894,0.98816
2,0.993993993994,0.988382
2,0.994094094094,0.988549
2,0.994194194194,0.988725
2,0.994294294294,0.988777
2,0.994394394394,0.989325
2,0.994494494494,0.989323
2,0.994594594595,0.98932
2,0.994694694695,0.989623
2,0.994794794795,0.989897
2,0.994894894895,0.990056
2,0.994994994995,0.990033
2,0.995095095095,0.990441
2,0.995195195195,0.990446
2,0.995295295295,0.990646
2,0.995395395395,0.991036
2,0.995495495495,0.991322
2,0.995595595596,0.991458
2,0.995695695696,0.991549
2,0.995795795796,0.991777
2,0.995895895896,0.992022
2,0.995995995996,0.992244
2,0.996096096096,0.992325
2,0.996196196196,0.992564
2,0.996296296296,0.992843
2,0.996396396396,0.99285
2,0.996496496496,0.993243
2,0.996596596597,0.993341
2,0.996696696697,0.993387
2,0.996796796797,0.993604
2,0.996896896897,0.993994
2,0.996996996997,0.994137
2,0.997097097097,0.994313
2,0.997197197197,0.994421
2,0.997297297297,0.994723
2,0.997397397397,0.994906
2,0.997497497497,0.995018
2,0.997597597598,0.99529
2,0.997697697698,0.995511
2,0.997797797798,0.995577
2,0.997897897898,0.995786
2,0.997997997998,0.996095
2,0.998098098098,0.996299
2,0.998198198198,0.996415
2,0.998298298298,0.99658
2,0.998398398398,0.996817
2,0.998498498498,0.996967
2,0.998598598599,0.997235
2,0.998698698699,0.997488
2,0.998798798799,0.997722
2,0.998898898899,0.997812
2,0.998998998999,0.997997
2,0.999099099099,0.998149
2,0.999199199199,0.998457
2,0.999299299299,0.99864
2,0.999399399399,0.998771
2,0.999499499499,0.998987
2,0.9995995996,0.999195
2,0.9996996997,0.999421
2,0.9997997998,0.999572
2,0.9998998999,0.999816
2,1.0,1.0
3,0.981381381381,0.950274
3,0.981481481481,0.950357
3,0.981581581582,0.951169
3,0.981681681682,0.951001
3,0.981781781782,0.951063
3,0.981881881882,0.951032
3,0.981981981982,0.951346
3,0.982082082082,0.952244
3,0.982182182182,0.9524
3,0.982282282282,0.951955
3,0.982382382382,0.952704
3,0.982482482482,0.953272
3,0.982582582583,0.953083
3,0.982682682683,0.953336
3,0.982782782783,0.95347
3,0.982882882883,0.954204
3,0.982982982983,0.953729
3,0.983083083083,0.954558
3,0.983183183183,0.954107
3,0.983283283283,0.954882
3,0.983383383383,0.955025
3,0.983483483483,0.955549
3,0.983583583584,0.955552
3,0.983683683684,0.956081
3,0.983783783784,0.956147
3,0.983883883884,0.956288
3,0.983983983984,0.956693
3,0.984084084084,0.956902
3,0.984184184184,0.957043
3,0.984284284284,0.957332
3,0.984384384384,0.957804
3,0.984484484484,0.958112
3,0.984584584585,0.958025
3,0.984684684685,0.958842
3,0.984784784785,0.9590650000000001
3,0.984884884885,0.958716
3,0.984984984985,0.959477
3,0.985085085085,0.959721
3,0.985185185185,0.959674
3,0.985285285285,0.960337
3,0.985385385385,0.960077
3,0.985485485485,0.960617
3,0.985585585586,0.960949
3,0.985685685686,0.961271
3,0.985785785786,0.961286
3,0.985885885886,0.961481
3,0.985985985986,0.961752
3,0.986086086086,0.962242
3,0.986186186186,0.96211
3,0.986286286286,0.962784
3,0.986386386386,0.96292
3,0.986486486486,0.963111
3,0.986586586587,0.963656
3,0.986686686687,0.963781
3,0.986786786787,0.964066
3,0.986886886887,0.964457
3,0.986986986987,0.964324
3,0.987087087087,0.964773
3,0.987187187187,0.965312
3,0.987287287287,0.965186
3,0.987387387387,0.965839
3,0.987487487487,0.965889
3,0.987587587588,0.966286
3,0.987687687688,0.966528
3,0.987787787788,0.966621
3,0.987887887888,0.966806
3,0.987987987988,0.967511
3,0.988088088088,0.967408
3,0.988188188188,0.9679
3,0.988288288288,0.967898
3,0.988388388388,0.968087
3,0.988488488488,0.968439
3,0.988588588589,0.968633
3,0.988688688689,0.969025
3,0.988788788789,0.968859
3,0.988888888889,0.969739
3,0.988988988989,0.97011
3,0.989089089089,0.970307
3,0.989189189189,0.970398
3,0.989289289289,0.970926
3,0.989389389389,0.970877
3,0.989489489489,0.970922
3,0.98958958959,0.971603
3,0.98968968969,0.971462
3,0.98978978979,0.971692
3,0.98988988989,0.972208
3,0.98998998999,0.972379
3,0.99009009009,0.972612
3,0.99019019019,0.972942
3,0.99029029029,0.973043
3,0.99039039039,0.97362
3,0.99049049049,0.973715
3,0.990590590591,0.974399
3,0.990690690691,0.974529
3,0.990790790791,0.974649
3,0.990890890891,0.974734
3,0.990990990991,0.975264
3,0.991091091091,0.975249
3,0.991191191191,0.976012
3,0.991291291291,0.976023
3,0.991391391391,0.976011
3,0.991491491491,0.976473
3,0.991591591592,0.976915
3,0.991691691692,0.977027
3,0.991791791792,0.977404
3,0.991891891892,0.977457
3,0.991991991992,0.977807
3,0.992092092092,0.977946
3,0.992192192192,0.978375
3,0.992292292292,0.978568
3,0.992392392392,0.978877
3,0.992492492492,0.979031
3,0.992592592593,0.979131
3,0.992692692693,0.979618
3,0.992792792793,0.98008
3,0.992892892893,0.98022
3,0.992992992993,0.980505
3,0.993093093093,0.980756
3,0.993193193193,0.980968
3,0.993293293293,0.981357
3,0.993393393393,0.981301
3,0.993493493493,0.981726
3,0.993593593594,0.982102
3,0.993693693694,0.982653
3,0.993793793794,0.982652
3,0.993893893894,0.982817
3,0.993993993994,0.983222
3,0.994094094094,0.983507
3,0.994194194194,0.983579
3,0.994294294294,0.983892
3,0.994394394394,0.984413
3,0.994494494494,0.98458
3,0.994594594595,0.9848
3,0.994694694695,0.985103
3,0.994794794795,0.985386
3,0.994894894895,0.985709
3,0.994994994995,0.985708
3,0.995095095095,0.986157
3,0.995195195195,0.986627
3,0.995295295295,0.986961
3,0.995395395395,0.987021
3,0.995495495495,0.98735
3,0.995595595596,0.987743
3,0.995695695696,0.987852
3,0.995795795796,0.988217
3,0.995895895896,0.988137
3,0.995995995996,0.988777
3,0.996096096096,0.988963
3,0.996196196196,0.989193
3,0.996296296296,0.989666
3,0.996396396396,0.989847
3,0.996496496496,0.989944
3,0.996596596597,0.990381
3,0.996696696697,0.99052
3,0.996796796797,0.990832
3,0.996896896897,0.991169
3,0.996996996997,0.991485
3,0.997097097097,0.991743
